NP,power,time,bkg
1,200.0,110,414899.5495496036
1,200.0,111,400387.3950797707
1,200.0,112,413789.7727461476
1,200.0,113,421204.2296106075
1,200.0,114,418524.80435173016
1,200.0,115,418742.66187698365
1,200.0,116,398055.15820569766
1,200.0,117,420185.0861490284
1,200.0,118,409301.74963932746
1,200.0,119,390811.97228857444
1,200.0,120,424281.84323002945
1,200.0,121,402812.56080134434
1,200.0,122,399713.6845639803
1,200.0,123,404796.70192387217
1,200.0,124,399645.67189628293
1,200.0,125,423874.792847549
1,200.0,126,422666.67177055485
1,200.0,127,403844.7405348307
1,200.0,128,418890.97348915273
1,200.0,129,403790.6469395066
1,200.0,130,405297.4048625226
1,200.0,131,422493.26542671735
1,200.0,132,422978.0974285522
1,200.0,133,415330.01192115666
1,200.0,134,410218.9089962613
1,200.0,135,410885.33961717616
1,200.0,136,410098.57491122204
1,200.0,137,429721.58271544345
1,200.0,138,417017.36330859386
1,200.0,139,421321.96035211545
1,200.0,140,430282.698818746
1,200.0,141,407631.68869832525
1,200.0,142,439657.6782992522
1,200.0,143,438461.74649850576
1,200.0,144,421638.34380407404
1,200.0,145,421874.03855168633
1,200.0,146,423067.0778929337
1,200.0,147,418346.25208300515
1,200.0,148,397300.8359471266
1,200.0,149,383619.0156858584
1,200.0,150,390368.2215017503
1,200.0,151,396394.74890732847
1,200.0,152,399656.47542283754
1,200.0,153,404037.6079142968
1,200.0,154,389667.3030088091
1,200.0,155,395756.6459248387
1,200.0,156,402959.23639375425
1,200.0,157,401476.2544462868
1,200.0,158,412312.7550193262
1,200.0,159,404125.202908581
1,200.0,160,402905.2770807419
1,200.0,161,406446.71531035687
1,200.0,162,407856.9555222749
1,200.0,163,414959.68398621865
1,200.0,164,411928.41189108696
1,200.0,165,400522.08997614885
1,200.0,166,418753.24031777424
1,200.0,167,429370.0858218308
1,200.0,168,405585.18217670015
1,200.0,169,414468.7273032031
1,200.0,170,417228.2578702156
1,200.0,171,396223.63860654976
1,200.0,172,400083.1768209967
1,200.0,173,396653.8397298781
1,200.0,174,398150.87190200796
1,200.0,175,406635.882423815
1,200.0,176,403627.224556218
1,200.0,178,417634.3766950924
1,200.0,179,416509.8295834473
1,200.0,180,427354.3342051636
1,200.0,181,392341.0812051363
1,200.0,182,403793.15736311744
1,200.0,183,407554.23174344853
1,200.0,184,412970.99138440855
1,200.0,185,421820.8046415723
1,200.0,186,409597.416117179
1,200.0,187,413625.3292827222
1,200.0,188,424854.42971631023
1,200.0,189,411394.8824898257
1,200.0,190,418148.02969574416
1,200.0,191,419824.3697172741
1,200.0,192,433105.56635098637
1,200.0,193,407992.11968072527
1,200.0,194,419045.0272461596
1,200.0,195,410708.4795312503
1,200.0,196,413282.8598954203
1,200.0,197,448677.1880207909
1,200.0,198,451865.62893533777
1,200.0,199,407206.0276260019
2,5.0,0,3429302.652673194
2,5.0,1,15259312.2627924
2,5.0,2,15378618.818695486
2,5.0,3,15810378.535796579
2,5.0,4,15241731.162243932
2,5.0,5,15093321.60217899
2,5.0,6,14589600.76854527
2,5.0,7,16321448.392338993
2,5.0,8,14543840.243935566
2,5.0,9,15626061.91049487
2,5.0,10,15290491.950694103
2,5.0,11,15764999.694675792
2,5.0,12,15280157.748853557
2,5.0,13,17859080.99931333
2,5.0,14,16081718.215830833
2,5.0,15,16862602.644916896
2,5.0,16,16167113.508462803
2,5.0,17,14594723.833749289
2,5.0,18,11070428.776720755
2,5.0,19,13053472.270045444
2,5.0,20,17415561.469391335
2,5.0,21,16806980.27704568
2,5.0,22,16991022.126598965
2,5.0,23,17991585.09868633
2,5.0,24,16872218.297331497
2,5.0,25,16013488.365226744
2,5.0,26,16894907.207292117
2,5.0,27,15495710.150099736
2,5.0,28,15307379.318368327
2,5.0,29,16851210.611846335
2,5.0,30,15380659.054421127
2,5.0,31,16150989.337937934
2,5.0,32,13920172.335104313
2,5.0,33,14558813.061555248
2,5.0,34,13575959.242315605
2,5.0,35,14617042.622098394
2,5.0,36,16114311.741081249
2,5.0,37,16845518.9536603
2,5.0,38,14338025.057907358
2,5.0,39,15444270.442687787
2,5.0,40,15290565.923079966
2,5.0,41,14430962.984424584
2,5.0,42,13476662.687180018
2,5.0,43,15762871.79723046
2,5.0,44,12887890.016138429
2,5.0,45,13190457.111436754
2,5.0,46,12252860.674676677
2,5.0,47,10713835.537641471
2,5.0,48,10415684.413456969
2,5.0,49,10845807.04726687
2,5.0,50,11931743.97827231
2,5.0,51,11630465.240196483
2,5.0,52,11223960.94522102
2,5.0,53,14312588.40084799
2,5.0,54,9971233.232166903
2,5.0,55,10053281.299639935
2,5.0,56,10115757.368903203
2,5.0,57,10778213.357419975
2,5.0,58,12070083.560630754
2,5.0,59,11597000.981856056
2,5.0,60,10831252.275600612
2,5.0,61,10269833.99977694
2,5.0,62,10359641.91048609
2,5.0,63,10087116.134654105
2,5.0,64,11355549.147041082
2,5.0,65,9430383.815627087
2,5.0,66,9776301.424111912
2,5.0,67,9942283.506823394
2,5.0,68,15141104.137578383
2,5.0,69,12740093.787831713
2,5.0,70,18886445.01999745
2,5.0,71,21268633.57818764
2,5.0,72,15597158.099833447
2,5.0,73,13957413.469725233
2,5.0,74,14198797.094708037
2,5.0,75,16052252.541675854
2,5.0,76,14680960.394852439
2,5.0,77,16752337.605097627
2,5.0,78,19126827.235451616
2,5.0,79,19823486.262869596
2,5.0,80,18187467.4012332
2,5.0,81,21112322.39766632
2,5.0,82,20692771.526435077
2,5.0,83,17827948.663871832
2,5.0,84,8981550.640082281
2,5.0,85,8944042.9798982
2,5.0,86,17091330.990567863
2,5.0,87,16874364.34356886
2,5.0,88,15450218.579309339
2,5.0,89,14957772.656557914
2,5.0,90,11367627.40715248
2,5.0,91,11435584.34766146
2,5.0,92,18113425.400778037
2,5.0,93,22993764.4163576
2,5.0,94,25962440.425954126
2,5.0,95,22014620.320422698
2,5.0,96,17383845.22399327
